Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
TRN_MG1655_stationary_12h_GlcM9_Rep1	7919405	2024311	2289929	541274	0	0	0	0	136088	0	0	0	0	2780905	112791	34107	25.561402655881345	7919405.0	7378131.0	93.17	541274.0	6.83	TRN_MG1655_stationary_12h_GlcM9_Rep1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7919405.0	0.0	20-51	52.0	18.49232250890257	50.25406302619957	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail	2.6	7926638	2445908	7926638	404258538	553346	398865976	1.3339389259850338	0.0339	0.4559	0.5102		
TRN_MG1655_stationary_12h_GlcM9_Rep2	5613583	1615595	1394219	370234	0	0	0	0	68736	0	0	0	0	2045944	90013	28842	28.78010354527581	5613583.0	5243349.0	93.4	370234.0	6.6	TRN_MG1655_stationary_12h_GlcM9_Rep2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5613583.0	0.0	20-51	51.0	21.783219347401523	50.33648936873295	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	2.6	5618099	1722220	5618099	286523049	382086	283157076	1.1747651756979594	0.0397	0.486	0.4743		
TRN_MG1655_stationary_12h_GlcM9_S_Rep1	6730830	3625908	1094433	530305	0	0	0	0	148749	0	0	0	0	973861	262932	94642	53.87014677238914	6730830.0	6200525.0	92.12	530305.0	7.88	TRN_MG1655_stationary_12h_GlcM9_S_Rep1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6730830.0	0.0	20-51	49.0	30.682516963006613	50.25054161225288	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	2.6	6737084	2024851	6737084	343591284	569222	338890418	1.3681563587043728	0.0623	0.3608	0.5769		
TRN_MG1655_stationary_12h_GlcM9_S_Rep2	5821327	3399159	664326	467792	0	0	0	0	80452	0	0	0	0	861090	254727	93781	58.39148015564148	5821327.0	5353535.0	91.96	467792.0	8.04	TRN_MG1655_stationary_12h_GlcM9_S_Rep2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5821327.0	0.0	20-51	49.0	31.341706441513345	50.35736971999683	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	2.6	5826944	1912727	5826944	297174144	789435	293222143	1.3298603124772526	0.0608	0.3826	0.5566		
TRN_MG1655_stationary_24h_GlcM9_N_Rep1	6090787	1582435	1314172	432768	0	0	0	0	67880	0	0	0	0	2576089	89517	27926	25.980796898660223	6090787.0	5658019.0	92.89	432768.0	7.11	TRN_MG1655_stationary_24h_GlcM9_N_Rep1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6090787.0	0.0	20-51	52.0	18.05410503008796	50.42754048040097	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	2.6	6095600	2186110	6095600	310875600	722093	306717420	1.3375703979340932	0.0334	0.5303	0.4363		
TRN_MG1655_stationary_24h_GlcM9_N_Rep2	5785866	1650997	1010181	413034	0	0	0	0	99401	0	0	0	0	2500751	81932	29570	28.535002366110795	5785866.0	5372832.0	92.86	413034.0	7.14	TRN_MG1655_stationary_24h_GlcM9_N_Rep2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5785866.0	0.0	20-51	51.0	21.965377610492343	50.26440398032032	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	2.6	5791341	1830004	5791341	295358391	418551	291450941	1.3229520877231484	0.03	0.5801	0.3898		
TRN_MG1655_stationary_24h_GlcM9_Rep1	8654305	2036278	2881490	597503	0	0	0	0	124726	0	0	0	0	2832410	136359	45539	23.52907599165964	8654305.0	8056802.0	93.1	597503.0	6.9	TRN_MG1655_stationary_24h_GlcM9_Rep1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8654305.0	0.0	20-51	51.0	18.534539165387017	50.29291110031366	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	2.6	8663024	2666232	8663024	441814224	570446	436227752	1.26443914580713	0.0391	0.4124	0.5485		
TRN_MG1655_stationary_24h_GlcM9_Rep2	6438244	1451215	1765378	471585	0	0	0	0	176409	0	0	0	0	2459255	88603	25799	22.540540557332093	6438244.0	5966659.0	92.68	471585.0	7.32	TRN_MG1655_stationary_24h_GlcM9_Rep2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6438244.0	0.0	20-51	52.0	15.073312252412332	50.16884914582299	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	2.6	6445099	2323262	6445099	328700049	830948	322635583	1.844984817754013	0.0424	0.4853	0.4723		
TRN_MG1655_stationary_24h_GlcM9_S_Rep1	6453001	3362694	1195823	494844	0	0	0	0	111192	0	0	0	0	963637	230007	94804	52.11054515565704	6453001.0	5958157.0	92.33	494844.0	7.67	TRN_MG1655_stationary_24h_GlcM9_S_Rep1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6453001.0	0.0	20-51	51.0	23.562145936943555	50.38142052046792	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	2.6	6459473	1965549	6459473	329433123	523269	325403366	1.2232397772582206	0.0608	0.3916	0.5476		
TRN_MG1655_stationary_24h_GlcM9_S_Rep2	2941858	1281189	829441	116795	0	0	0	0	108911	0	0	0	0	495642	89327	20553	43.55033451648584	2941858.0	2825063.0	96.03	116795.0	3.97	TRN_MG1655_stationary_24h_GlcM9_S_Rep2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2941858.0	0.0	20-51	53.0	24.157738896208507	50.17424396418862	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	2.6	2944098	981063	2944098	150148998	284280	147454169	1.7947698858436605	0.0655	0.3235	0.611		
TRN_MG1655_stationary_3h_GlcM9_N_Rep1	5629817	3705302	139217	618633	0	0	0	0	89539	0	0	0	0	714970	220255	141901	65.81567393753652	5629817.0	5011184.0	89.01	618633.0	10.99	TRN_MG1655_stationary_3h_GlcM9_N_Rep1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5629817.0	0.0	20-51	50.0	28.68236280619299	50.51249978462888	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn	2.6	5633518	1891438	5633518	287309418	869343	283969681	1.1624182121311455	0.0395	0.4433	0.5172		
TRN_MG1655_stationary_3h_GlcM9_N_Rep2	7965843	5489978	105980	823200	0	0	0	0	150036	0	0	0	0	858884	324389	213376	68.91898321370381	7965843.0	7142643.0	89.67	823200.0	10.33	TRN_MG1655_stationary_3h_GlcM9_N_Rep2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7965843.0	0.0	20-51	48.0	35.57478612041279	50.45132436077387	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail	2.6	7971788	2634668	7971788	406561188	1163375	401963672	1.130830028959872	0.0383	0.4304	0.5312		
TRN_MG1655_stationary_3h_GlcM9_Rep1	8004355	5199009	235930	953655	0	0	0	0	136812	0	0	0	0	960101	317087	201761	64.95225411666524	8004355.0	7050700.0	88.09	953655.0	11.91	TRN_MG1655_stationary_3h_GlcM9_Rep1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8004355.0	0.0	20-51	48.0	35.41149799790394	50.442923633447045	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail	2.6	8009568	2667167	8009568	408487968	1169611	403829157	1.1405014015002763	0.0434	0.4315	0.5251		
TRN_MG1655_stationary_3h_GlcM9_Rep2	7991181	5492786	102685	810938	0	0	0	0	197447	0	0	0	0	806274	338052	242999	68.73559740418844	7991181.0	7180243.0	89.85	810938.0	10.15	TRN_MG1655_stationary_3h_GlcM9_Rep2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7991181.0	0.0	20-51	50.0	26.33118790410923	50.51305195064409	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	2.6	7996711	2394199	7996711	407832261	629902	403928052	0.9573075436521192	0.04	0.4299	0.5301		
TRN_MG1655_stationary_3h_GlcM9_S_Rep1	8566687	5836767	127376	762683	0	0	0	0	102996	0	0	0	0	1129551	418200	189114	68.13330520888647	8566687.0	7804004.0	91.1	762683.0	8.9	TRN_MG1655_stationary_3h_GlcM9_S_Rep1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8566687.0	0.0	20-51	47.0	32.44790538998017	50.45672942177063	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail	2.6	8572925	2600906	8572925	437219175	669295	433036892	0.9565644050263808	0.0435	0.4935	0.463		
TRN_MG1655_stationary_3h_GlcM9_S_Rep2	10678766	7431265	130182	1081104	0	0	0	0	155067	0	0	0	0	1230097	400146	250905	69.5891735056279	10678766.0	9597662.0	89.88	1081104.0	10.12	TRN_MG1655_stationary_3h_GlcM9_S_Rep2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10678766.0	0.0	20-51	51.0	24.120709367068077	50.507358902704674	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn	2.6	10685314	3223268	10685314	544951014	840160	539677466	0.9677104665411264	0.0376	0.4568	0.5056		
TRN_MG1655_stationary_4h_GlcM9_N_Rep1	7368753	4747368	125279	640891	0	0	0	0	54153	0	0	0	0	1428258	225244	147560	64.42566333815233	7368753.0	6727862.0	91.3	640891.0	8.7	TRN_MG1655_stationary_4h_GlcM9_N_Rep1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7368753.0	0.0	20-51	50.0	28.61304400579545	50.45736028877614	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail	2.6	7373372	2500235	7373372	376041972	891169	371861439	1.1117197843010993	0.0293	0.5276	0.4431		
TRN_MG1655_stationary_4h_GlcM9_N_Rep2	9661510	6227474	140649	826432	0	0	0	0	101687	0	0	0	0	1831217	324210	209841	64.45652905187698	9661510.0	8835078.0	91.45	826432.0	8.55	TRN_MG1655_stationary_4h_GlcM9_N_Rep2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9661510.0	0.0	20-51	51.0	21.575328373855537	50.46483965756906	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn	2.6	9668270	3246803	9668270	493081770	1320883	487459548	1.140221022569948	0.0323	0.5208	0.4469		
TRN_MG1655_stationary_4h_GlcM9_Rep1	6071948	3992876	138752	653147	0	0	0	0	84004	0	0	0	0	859574	215295	128300	65.75939056131574	6071948.0	5418801.0	89.24	653147.0	10.76	TRN_MG1655_stationary_4h_GlcM9_Rep1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6071948.0	0.0	20-51	48.0	34.77005672534247	50.449631650336926	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail	2.6	6076026	1822715	6076026	309877326	506790	306858817	0.9740980532405912	0.0386	0.4552	0.5062		
TRN_MG1655_stationary_4h_GlcM9_Rep2	7676839	5279874	101667	791748	0	0	0	0	101925	0	0	0	0	954733	269104	177788	68.7766670630972	7676839.0	6885091.0	89.69	791748.0	10.31	TRN_MG1655_stationary_4h_GlcM9_Rep2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7676839.0	0.0	20-51	51.0	27.39853367729406	50.50979967145332	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	2.6	7681714	2541594	7681714	391767414	1032231	387387809	1.117909464517128	0.0345	0.4519	0.5136		
TRN_MG1655_stationary_4h_GlcM9_S_Rep1	8760972	5595455	213780	776045	0	0	0	0	66502	0	0	0	0	1549135	372081	187974	63.86797035762698	8760972.0	7984927.0	91.14	776045.0	8.86	TRN_MG1655_stationary_4h_GlcM9_S_Rep1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8760972.0	0.0	20-51	51.0	25.792753866733925	50.51252886095287	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn	2.6	8765788	2673022	8765788	447055188	680169	442776397	0.9571057701269758	0.039	0.5028	0.4582		
TRN_MG1655_stationary_4h_GlcM9_S_Rep2	7299640	4714057	120694	675962	0	0	0	0	56144	0	0	0	0	1267539	301961	163283	64.57930802066952	7299640.0	6623678.0	90.74	675962.0	9.26	TRN_MG1655_stationary_4h_GlcM9_S_Rep2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7299640.0	0.0	20-51	48.0	33.56972498908016	50.44653160977801	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail	2.6	7303635	2457965	7303635	372485385	955753	368286328	1.1273078539712371	0.0376	0.5118	0.4507		
TRN_MG1655_stationary_5h_GlcM9_N_Rep1	5936171	2967503	517198	524555	0	0	0	0	64718	0	0	0	0	1626892	170955	64350	49.99018727728699	5936171.0	5411616.0	91.16	524555.0	8.84	TRN_MG1655_stationary_5h_GlcM9_N_Rep1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5936171.0	0.0	20-51	49.0	27.08220651531979	50.37550754518359	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail	2.6	5940383	1889100	5940383	302959533	732082	299361824	1.1875213050318505	0.0352	0.5304	0.4343		
TRN_MG1655_stationary_5h_GlcM9_N_Rep2	8414734	4216181	759491	642621	0	0	0	0	106823	0	0	0	0	2348666	243704	97248	50.10474484398437	8414734.0	7772113.0	92.36	642621.0	7.64	TRN_MG1655_stationary_5h_GlcM9_N_Rep2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8414734.0	0.0	20-51	51.0	19.882137682561275	50.380746081813164	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn	2.6	8421038	2875293	8421038	429472938	1054196	423885965	1.3008905813758165	0.0363	0.528	0.4356		
TRN_MG1655_stationary_5h_GlcM9_Rep1	7368004	2517677	1400338	671896	0	0	0	0	69532	0	0	0	0	2531958	142683	33920	34.170407616499666	7368004.0	6696108.0	90.88	671896.0	9.12	TRN_MG1655_stationary_5h_GlcM9_Rep1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7368004.0	0.0	20-51	51.0	16.272883701348224	50.4292672750992	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	2.6	7373727	2221270	7373727	376060077	644382	371834872	1.123545214824811	0.0427	0.4944	0.463		
