	sample_id	study	project	reference_condition	condition	rep_id	Strain Description	Strain	Culture Type	Evolved Sample	Base Media	Temperature (C)	pH	Carbon Source (g/L)	Nitrogen Source (g/L)	Electron Acceptor	Trace Element Mixture	Supplement	Antibiotic for selection	Growth_Phase	Growth Rate (1/hr)	Isolate Type	Additional Details	Sequencing Machine	LibraryLayout	Platform	Biological Replicates	doi	GEO	SRX	Run	R1	R2	contact	creator	passed_fastqc	passed_pct_reads_mapped	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_similar_replicates	passed_number_replicates	run_date	n_replicates	PxK_sample_type	deleted_genes	mutated_genes	overexpressed_genes	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57
p1k_00017	acid__delgade_ph5__1	Acid	acid	p1k_00011;p1k_00012	delgade_ph5	1	Escherichia coli K-12 MG1655 del_gadE	MG1655	Batch	No	M9	37.0	5.5	glucose(2)	NH4Cl(1)	O2	0	0	Kanamycin (50 ug/mL)	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1038/ncomms8970	GSE66482	SRX895928	SRR1824559	s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-1_S1_L001_R1_001.fastq.gz	s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-1_S1_L001_R2_001.fastq.gz	Sangwoo Seo	Sangwoo Seo	True	True	True	True	acid:delgade_ph5	True	True	7/16/14	2.0	genetic_perturbation	gade	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00018	acid__delgade_ph5__2	Acid	acid	p1k_00011;p1k_00012	delgade_ph5	2	Escherichia coli K-12 MG1655 del_gadE	MG1655	Batch	No	M9	37.0	5.5	glucose(2)	NH4Cl(1)	O2	0	0	Kanamycin (50 ug/mL)	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1038/ncomms8970	GSE66482	SRX895929	SRR1824560	s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-2_S2_L001_R1_001.fastq.gz	s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-2_S2_L001_R2_001.fastq.gz	Sangwoo Seo	Sangwoo Seo	True	True	True	True	acid:delgade_ph5	True	True	7/16/14	2.0	genetic_perturbation	gade	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00019	oxidative__wt_pq__1	Oxidative	oxidative	p1k_00019;p1k_00020	wt_pq	1	Escherichia coli K-12 MG1655	MG1655	Batch	No	M9	37.0	7.0	glucose(2)	NH4Cl(1)	O2	0	PQ (250uM)	0	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	SRX871628	SRR1796598	s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-1_S1_L001_R1_001.fastq.gz	s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-1_S1_L001_R2_001.fastq.gz	Sangwoo Seo	Sangwoo Seo	True	True	True	True	oxidative:wt_pq	True	True	8/27/14	2.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00020	oxidative__wt_pq__2	Oxidative	oxidative	p1k_00019;p1k_00020	wt_pq	2	Escherichia coli K-12 MG1655	MG1655	Batch	No	M9	37.0	7.0	glucose(2)	NH4Cl(1)	O2	0	PQ (250uM)	0	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	SRX871629	SRR1796599	s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-2_S2_L001_R1_001.fastq.gz	s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-2_S2_L001_R2_001.fastq.gz	Sangwoo Seo	Sangwoo Seo	True	True	True	True	oxidative:wt_pq	True	True	8/27/14	2.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00021	oxidative__deloxyr_pq__1	Oxidative	oxidative	p1k_00019;p1k_00020	deloxyr_pq	1	Escherichia coli K-12 MG1655 del_oxyR	MG1655	Batch	No	M9	37.0	7.0	glucose(2)	NH4Cl(1)	O2	0	PQ (250uM)	Kanamycin (50 ug/mL)	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	SRX871630	SRR1796600	s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-1_S3_L001_R1_001.fastq.gz	s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-1_S3_L001_R2_001.fastq.gz	Sangwoo Seo	Sangwoo Seo	True	True	True	True	oxidative:deloxyr_pq	True	True	9/4/14	2.0	genetic_perturbation	oxyr	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00022	oxidative__deloxyr_pq__2	Oxidative	oxidative	p1k_00019;p1k_00020	deloxyr_pq	2	Escherichia coli K-12 MG1655 del_oxyR	MG1655	Batch	No	M9	37.0	7.0	glucose(2)	NH4Cl(1)	O2	0	PQ (250uM)	Kanamycin (50 ug/mL)	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	SRX871631	SRR1796601	s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-2_S1_L001_R1_001.fastq.gz	s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-2_S1_L001_R2_001.fastq.gz	Sangwoo Seo	Sangwoo Seo	True	True	True	True	oxidative:deloxyr_pq	True	True	9/4/14	2.0	genetic_perturbation	oxyr	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00023	oxidative__delsoxr_pq__1	Oxidative	oxidative	p1k_00019;p1k_00020	delsoxr_pq	1	Escherichia coli K-12 MG1655 del_soxR	MG1655	Batch	No	M9	37.0	7.0	glucose(2)	NH4Cl(1)	O2	0	PQ (250uM)	Kanamycin (50 ug/mL)	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	SRX871632	SRR1796602	s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-1_S2_L001_R1_001.fastq.gz	s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-1_S2_L001_R2_001.fastq.gz	Sangwoo Seo	Sangwoo Seo	True	True	True	True	oxidative:delsoxr_pq	True	True	9/4/14	2.0	genetic_perturbation	soxr	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00024	oxidative__delsoxr_pq__2	Oxidative	oxidative	p1k_00019;p1k_00020	delsoxr_pq	2	Escherichia coli K-12 MG1655 del_soxR	MG1655	Batch	No	M9	37.0	7.0	glucose(2)	NH4Cl(1)	O2	0	PQ (250uM)	Kanamycin (50 ug/mL)	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	SRX871633	SRR1796603	s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-2_S3_L001_R1_001.fastq.gz	s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-2_S3_L001_R2_001.fastq.gz	Sangwoo Seo	Sangwoo Seo	True	True	True	True	oxidative:delsoxr_pq	True	True	9/4/14	2.0	genetic_perturbation	soxr	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00025	oxidative__delsoxs_pq__1	Oxidative	oxidative	p1k_00019;p1k_00020	delsoxs_pq	1	Escherichia coli K-12 MG1655 del_soxS	MG1655	Batch	No	M9	37.0	7.0	glucose(2)	NH4Cl(1)	O2	0	PQ (250uM)	Kanamycin (50 ug/mL)	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	SRX871634	SRR1796604	s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-1_S1_L001_R1_001.fastq.gz	s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-1_S1_L001_R2_001.fastq.gz	Sangwoo Seo	Sangwoo Seo	True	True	True	True	oxidative:delsoxs_pq	True	True	9/18/14	2.0	genetic_perturbation	soxs	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00026	oxidative__delsoxs_pq__2	Oxidative	oxidative	p1k_00019;p1k_00020	delsoxs_pq	2	Escherichia coli K-12 MG1655 del_soxS	MG1655	Batch	No	M9	37.0	7.0	glucose(2)	NH4Cl(1)	O2	0	PQ (250uM)	Kanamycin (50 ug/mL)	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	SRX871635	SRR1796605	s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-2_S2_L001_R1_001.fastq.gz	s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-2_S2_L001_R2_001.fastq.gz	Sangwoo Seo	Sangwoo Seo	True	True	True	True	oxidative:delsoxs_pq	True	True	9/18/14	2.0	genetic_perturbation	soxs	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00027	nac_ntrc__wt_csn__1	Nac/NtrC	nac_ntrc	p1k_00027;p1k_00028	wt_csn	1	Escherichia coli K-12 MG1655	MG1655	Batch	No	W2	37.0	7.0	glucose(2)	cytosine(2)	O2	0	0	0	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	escholarship.org/uc/item/0k4709x6	GSE54904	0	0	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-1_S1_L001_R1_001.fastq.gz	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-1_S1_L001_R2_001.fastq.gz	Donghyuk Kim	Donghyuk Kim	True	True	True	True	nac_ntrc:wt_csn	True	True	4/18/13	2.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00028	nac_ntrc__wt_csn__2	Nac/NtrC	nac_ntrc	p1k_00027;p1k_00028	wt_csn	2	Escherichia coli K-12 MG1655	MG1655	Batch	No	W2	37.0	7.0	glucose(2)	cytosine(2)	O2	0	0	0	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	escholarship.org/uc/item/0k4709x6	GSE54904	0	0	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-2_S2_L001_R1_001.fastq.gz	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-2_S2_L001_R2_001.fastq.gz	Donghyuk Kim	Donghyuk Kim	True	True	True	True	nac_ntrc:wt_csn	True	True	4/18/13	2.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00029	nac_ntrc__wt_cytd__1	Nac/NtrC	nac_ntrc	p1k_00027;p1k_00028	wt_cytd	1	Escherichia coli K-12 MG1655	MG1655	Batch	No	W2	37.0	7.0	glucose(2)	cytidine(2)	O2	0	0	0	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	escholarship.org/uc/item/0k4709x6	GSE54904	0	0	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-1_S1_L001_R1_001.fastq.gz	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-1_S1_L001_R2_001.fastq.gz	Donghyuk Kim	Donghyuk Kim	True	True	True	True	nac_ntrc:wt_cytd	True	True	4/17/13	2.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00030	nac_ntrc__wt_cytd__2	Nac/NtrC	nac_ntrc	p1k_00027;p1k_00028	wt_cytd	2	Escherichia coli K-12 MG1655	MG1655	Batch	No	W2	37.0	7.0	glucose(2)	cytidine(2)	O2	0	0	0	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	escholarship.org/uc/item/0k4709x6	GSE54904	0	0	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-2_S2_L001_R1_001.fastq.gz	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-2_S2_L001_R2_001.fastq.gz	Donghyuk Kim	Donghyuk Kim	True	True	True	True	nac_ntrc:wt_cytd	True	True	4/17/13	2.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00031	nac_ntrc__wt_gln__1	Nac/NtrC	nac_ntrc	p1k_00027;p1k_00028	wt_gln	1	Escherichia coli K-12 MG1655	MG1655	Batch	No	W2	37.0	7.0	glucose(2)	glutamine(2)	O2	0	0	0	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	escholarship.org/uc/item/0k4709x6	GSE54904	0	0	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-glutamine-1_S1_L001_R1_001.fastq.gz	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-glutamine-1_S1_L001_R2_001.fastq.gz	Donghyuk Kim	Donghyuk Kim	True	True	True	True	nac_ntrc:wt_gln	True	True	4/17/13	2.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00032	nac_ntrc__wt_gln__2	Nac/NtrC	nac_ntrc	p1k_00027;p1k_00028	wt_gln	2	Escherichia coli K-12 MG1655	MG1655	Batch	No	W2	37.0	7.0	glucose(2)	glutamine(2)	O2	0	0	0	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	escholarship.org/uc/item/0k4709x6	GSE54904	0	0	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-glutamine-2_S2_L001_R1_001.fastq.gz	s3://precise-db/raw_data/nac_ntrc/MG1655-W2-glutamine-2_S2_L001_R2_001.fastq.gz	Donghyuk Kim	Donghyuk Kim	True	True	True	True	nac_ntrc:wt_gln	True	True	4/17/13	2.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p1k_00041	misc__wt_no_te__1	Misc	misc	p1k_00041;p1k_00042	wt_no_te	1	Escherichia coli K-12 MG1655	MG1655	Batch	No	M9	37.0	7.0	glucose(4)	NH4Cl(1)	O2	0	0	0	0	0.0	0	0	MiSeq	PAIRED	ILLUMINA	2.0	doi.org/10.1038/s41467-019-13483-w	GSE122211	SRX4985291	SRR8164476	s3://precise-db/raw_data/misc/RNAseq-WT-NoTE-1_S1_L001_R1_001.fastq.gz	s3://precise-db/raw_data/misc/RNAseq-WT-NoTE-1_S1_L001_R2_001.fastq.gz	Sangwoo Seo	Sangwoo Seo	True	True	True	True	misc:wt_no_te	True	True	3/13/15	2.0	WT	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
